No.,Pos.,Player,Date of birth (age),Caps,Club,Country
3,DF,Agustín Aranzábal,15 March 1973 (aged 25),6,Real Sociedad,Spain
4,DF,Rafael Alkorta,16 September 1968 (aged 29),48,Athletic Bilbao,Spain
5,DF,Abelardo,19 March 1970 (aged 28),40,Barcelona,Spain
6,MF,Fernando Hierro,23 March 1968 (aged 30),55,Real Madrid,Spain
7,FW,Fernando Morientes,5 April 1976 (aged 22),2,Real Madrid,Spain
8,MF,Julen Guerrero,7 January 1974 (aged 24),31,Athletic Bilbao,Spain
9,FW,Juan Antonio Pizzi,7 June 1968 (aged 30),21,Barcelona,Spain
10,FW,Raúl,27 June 1977 (aged 20),13,Real Madrid,Spain
11,FW,Alfonso,26 September 1972 (aged 25),26,Real Betis,Spain
12,DF,Sergi,28 December 1971 (aged 26),33,Barcelona,Spain
13,GK,Santiago Cañizares,18 December 1969 (aged 28),10,Real Madrid,Spain
14,DF,Iván Campo,21 February 1974 (aged 24),2,Mallorca,Spain
15,DF,Carlos Aguilera,22 May 1969 (aged 29),4,Atlético Madrid,Spain
16,MF,Albert Celades,29 September 1975 (aged 22),1,Barcelona,Spain
17,FW,Joseba Etxeberria,5 September 1977 (aged 20),4,Athletic Bilbao,Spain
18,MF,Guillermo Amor,4 December 1967 (aged 30),33,Barcelona,Spain
19,FW,Kiko,26 April 1972 (aged 26),21,Atlético Madrid,Spain
20,DF,Miguel Ángel Nadal,28 July 1966 (aged 31),43,Barcelona,Spain
21,MF,Luis Enrique,8 May 1970 (aged 28),35,Barcelona,Spain
22,GK,José Molina,8 August 1970 (aged 27),1,Atlético Madrid,Spain
1,GK,Filip De Wilde,5 July 1964 (aged 33),25,Anderlecht,Belgium
2,DF,Bertrand Crasson,5 October 1971 (aged 26),19,Napoli,Belgium
3,DF,Lorenzo Staelens,30 April 1964 (aged 34),52,Club Brugge,Belgium
4,DF,Gordan Vidović,23 June 1968 (aged 29),11,Mouscron,Belgium
5,DF,Vital Borkelmans,1 June 1963 (aged 35),22,Club Brugge,Belgium
6,MF,Franky Van der Elst (captain),30 April 1961 (aged 37),86,Club Brugge,Belgium
7,MF,Marc Wilmots,22 February 1969 (aged 29),37,Schalke 04,Belgium
8,FW,Luís Oliveira,24 March 1969 (aged 29),29,Fiorentina,Belgium
9,FW,Mbo Mpenza,4 December 1976 (aged 21),8,Standard Liège,Belgium
10,FW,Luc Nilis,25 May 1967 (aged 31),51,PSV Eindhoven,Belgium
11,MF,Nico Van Kerckhoven,14 December 1970 (aged 27),17,Lierse,Belgium
12,GK,Philippe Vande Walle,22 December 1961 (aged 36),4,Eendracht Aalst,Belgium
13,GK,Dany Verlinden,15 August 1963 (aged 34),1,Club Brugge,Belgium
14,MF,Enzo Scifo,19 February 1966 (aged 32),84,Anderlecht,Belgium
15,MF,Philippe Clement,22 March 1974 (aged 24),8,Genk,Belgium
16,DF,Glen De Boeck,22 August 1971 (aged 26),12,Anderlecht,Belgium
17,DF,Mike Verstraeten,12 August 1967 (aged 30),6,Germinal Ekeren,Belgium
18,FW,Gert Verheyen,20 September 1970 (aged 27),17,Club Brugge,Belgium
19,DF,Eric Van Meir,28 February 1968 (aged 30),14,Lierse,Belgium
20,FW,Émile Mpenza,4 July 1978 (aged 19),13,Standard Liège,Belgium
21,MF,Danny Boffin,10 July 1965 (aged 32),40,Metz,Belgium
22,DF,Éric Deflandre,2 August 1973 (aged 24),12,Club Brugge,Belgium
1,GK,Jorge Campos,15 October 1966 (aged 31),106,Chicago Fire,Mexico
2,DF,Claudio Suárez,17 December 1968 (aged 29),121,Guadalajara,Mexico
3,DF,Joel Sánchez,17 August 1974 (aged 23),20,Guadalajara,Mexico
4,MF,Germán Villa,2 April 1973 (aged 25),36,América,Mexico
5,DF,Duilio Davino,21 March 1976 (aged 22),48,América,Mexico
6,MF,Marcelino Bernal,27 May 1962 (aged 36),72,Monterrey,Mexico
7,MF,Jesús Ramón Ramírez,5 December 1969 (aged 28),92,Guadalajara,Mexico
8,MF,Alberto García Aspe (captain),11 May 1967 (aged 31),82,América,Mexico
9,FW,Ricardo Peláez,14 March 1963 (aged 35),41,América,Mexico
10,FW,Luis García Postigo,1 June 1969 (aged 29),89,Atlante,Mexico
11,FW,Cuauhtémoc Blanco,17 January 1973 (aged 25),42,Necaxa,Mexico
12,GK,Oswaldo Sánchez,21 September 1973 (aged 24),9,América,Mexico
13,MF,Pável Pardo,26 July 1976 (aged 21),43,Atlas,Mexico
14,MF,Raúl Lara,28 February 1973 (aged 25),24,América,Mexico
15,FW,Luis Hernández,22 December 1968 (aged 29),46,Necaxa,Mexico
16,DF,Isaac Terrazas,17 April 1975 (aged 23),7,América,Mexico
17,FW,Francisco Palencia,28 April 1973 (aged 25),27,Cruz Azul,Mexico
18,DF,Salvador Carmona,22 August 1975 (aged 22),16,Toluca,Mexico
19,MF,Braulio Luna,8 September 1974 (aged 23),15,UNAM,Mexico
20,MF,Jaime Ordiales,23 December 1963 (aged 34),21,Toluca,Mexico
21,MF,Jesús Arellano,8 May 1973 (aged 25),7,Guadalajara,Mexico
22,GK,Óscar Pérez,1 February 1973 (aged 25),8,Cruz Azul,Mexico
1,GK,Edwin van der Sar,29 October 1970 (aged 27),25,Ajax,Netherlands
2,DF,Michael Reiziger,3 May 1973 (aged 25),26,Barcelona,Netherlands
3,DF,Jaap Stam,17 July 1972 (aged 25),14,PSV Eindhoven,Netherlands
4,DF,Frank de Boer (captain),15 May 1970 (aged 28),55,Ajax,Netherlands
5,DF,Arthur Numan,14 December 1969 (aged 28),29,PSV Eindhoven,Netherlands
6,MF,Wim Jonk,12 October 1966 (aged 31),42,PSV Eindhoven,Netherlands
7,MF,Ronald de Boer,15 May 1970 (aged 28),41,Ajax,Netherlands
8,FW,Dennis Bergkamp,10 May 1969 (aged 29),57,Arsenal,Netherlands
9,FW,Patrick Kluivert,1 July 1976 (aged 21),19,Milan,Netherlands
10,MF,Clarence Seedorf,1 April 1976 (aged 22),31,Real Madrid,Netherlands
11,MF,Phillip Cocu,29 October 1970 (aged 27),20,PSV Eindhoven,Netherlands
12,MF,Boudewijn Zenden,15 August 1976 (aged 21),6,PSV Eindhoven,Netherlands
13,DF,André Ooijer,11 July 1974 (aged 23),0,PSV Eindhoven,Netherlands
14,MF,Marc Overmars,29 March 1973 (aged 25),40,Arsenal,Netherlands
15,DF,Winston Bogarde,22 October 1970 (aged 27),14,Barcelona,Netherlands
16,MF,Edgar Davids,13 March 1973 (aged 25),12,Juventus,Netherlands
17,FW,Pierre van Hooijdonk,29 November 1969 (aged 28),12,Nottingham Forest,Netherlands
18,GK,Ed de Goey,20 December 1966 (aged 31),31,Chelsea,Netherlands
19,DF,Giovanni van Bronckhorst,5 February 1975 (aged 23),8,Feyenoord,Netherlands
20,MF,Aron Winter,1 March 1967 (aged 31),72,Inter Milan,Netherlands
21,FW,Jimmy Floyd Hasselbaink,27 March 1972 (aged 26),3,Leeds United,Netherlands
22,GK,Ruud Hesp,31 October 1965 (aged 32),0,Barcelona,Netherlands
1,GK,Kim Byung-ji,8 April 1970 (aged 28),34,Ulsan Hyundai Horangi,South Korea
2,MF,Choi Sung-yong,25 December 1975 (aged 22),27,Sangmu,South Korea
3,DF,Lee Lim-saeng,18 November 1971 (aged 26),17,Bucheon SK,South Korea
4,DF,Choi Young-il (captain),25 April 1966 (aged 32),54,Busan Daewoo Royals,South Korea
5,DF,Lee Min-sung,23 June 1973 (aged 24),29,Busan Daewoo Royals,South Korea
6,DF,Yoo Sang-chul,18 October 1971 (aged 26),57,Ulsan Hyundai Horangi,South Korea
7,MF,Kim Do-keun,2 March 1972 (aged 26),13,Jeonnam Dragons,South Korea
8,MF,Noh Jung-yoon,28 March 1971 (aged 27),36,NAC Breda,South Korea
9,FW,Kim Do-hoon,21 July 1970 (aged 27),37,Vissel Kobe,South Korea
10,FW,Choi Yong-soo,10 September 1973 (aged 24),33,Sangmu,South Korea
11,FW,Seo Jung-won,17 December 1970 (aged 27),73,Strasbourg,South Korea
12,DF,Lee Sang-hun,11 October 1975 (aged 22),13,Anyang LG Cheetahs,South Korea
13,DF,Kim Tae-young,8 November 1970 (aged 27),35,Jeonnam Dragons,South Korea
14,MF,Ko Jong-soo,30 October 1978 (aged 19),22,Suwon Samsung Bluewings,South Korea
15,MF,Lee Sang-yoon,10 April 1969 (aged 29),28,Cheonan Ilhwa Chunma,South Korea
16,DF,Jang Hyung-seok,7 July 1972 (aged 25),7,Ulsan Hyundai Horangi,South Korea
17,MF,Ha Seok-ju,20 February 1968 (aged 30),82,Cerezo Osaka,South Korea
18,FW,Hwang Sun-hong,14 July 1968 (aged 29),78,Pohang Steelers,South Korea
19,DF,Jang Dae-il,9 March 1975 (aged 23),14,Cheonan Ilhwa Chunma,South Korea
20,DF,Hong Myung-bo,12 February 1969 (aged 29),94,Bellmare Hiratsuka,South Korea
21,FW,Lee Dong-gook,29 April 1979 (aged 19),0,Pohang Steelers,South Korea
22,GK,Seo Dong-myung,4 May 1974 (aged 24),21,Sangmu,South Korea
1,GK,Andreas Köpke,12 March 1962 (aged 36),54,Marseille,Germany
2,DF,Christian Wörns,10 May 1972 (aged 26),17,Bayer Leverkusen,Germany
3,DF,Jörg Heinrich,6 December 1969 (aged 28),15,Borussia Dortmund,Germany
4,DF,Jürgen Kohler,6 October 1965 (aged 32),101,Borussia Dortmund,Germany
5,DF,Thomas Helmer,21 April 1965 (aged 33),66,Bayern Munich,Germany
6,DF,Olaf Thon,1 May 1966 (aged 32),48,Schalke 04,Germany
7,MF,Andreas Möller,2 September 1967 (aged 30),79,Borussia Dortmund,Germany
8,DF,Lothar Matthäus,21 March 1961 (aged 37),125,Bayern Munich,Germany
9,FW,Ulf Kirsten,4 December 1965 (aged 32),32*,Bayer Leverkusen,Germany
10,MF,Thomas Häßler,30 May 1966 (aged 32),93,Karlsruher SC,Germany
11,FW,Olaf Marschall,19 March 1966 (aged 32),7*,1. FC Kaiserslautern,Germany
12,GK,Oliver Kahn,15 June 1969 (aged 28),10,Bayern Munich,Germany
13,MF,Jens Jeremies,5 March 1974 (aged 24),5,1860 Munich,Germany
14,DF,Markus Babbel,8 September 1972 (aged 25),30,Bayern Munich,Germany
15,MF,Steffen Freund,19 January 1970 (aged 28),21,Borussia Dortmund,Germany
16,MF,Dietmar Hamann,27 August 1973 (aged 24),7,Bayern Munich,Germany
17,DF,Christian Ziege,1 February 1972 (aged 26),37,Milan,Germany
18,FW,Jürgen Klinsmann (captain),30 July 1964 (aged 33),103,Tottenham Hotspur,Germany
19,DF,Stefan Reuter,16 October 1966 (aged 31),68,Borussia Dortmund,Germany
20,FW,Oliver Bierhoff,1 May 1968 (aged 30),26,Udinese,Germany
21,DF,Michael Tarnat,27 October 1969 (aged 28),12,Bayern Munich,Germany
22,GK,Jens Lehmann,10 November 1969 (aged 28),2,Schalke 04,Germany
1,GK,Ahmad Reza Abedzadeh (captain),25 May 1966 (aged 32),77,Persepolis,Iran
2,MF,Mehdi Mahdavikia,24 July 1977 (aged 20),29,Persepolis,Iran
3,DF,Naeim Saadavi,16 June 1969 (aged 28),8,Persepolis,Iran
4,DF,Mohammad Khakpour,20 February 1969 (aged 29),41,Bahman,Iran
5,DF,Afshin Peyrovani,6 February 1970 (aged 28),40,Persepolis,Iran
6,MF,Karim Bagheri,20 February 1974 (aged 24),46,Arminia Bielefeld,Iran
7,MF,Alireza Mansourian,12 December 1971 (aged 26),33,Esteghlal,Iran
8,MF,Sirous Dinmohammadi,2 July 1970 (aged 27),16,Shahrdari Tabriz,Iran
9,MF,Hamid Estili,1 April 1967 (aged 31),52,Bahman,Iran
10,FW,Ali Daei,21 March 1969 (aged 29),53,Arminia Bielefeld,Iran
11,FW,Khodadad Azizi,22 June 1971 (aged 26),27,1. FC Köln,Iran
12,GK,Nima Nakisa,1 May 1975 (aged 23),6,Persepolis,Iran
13,FW,Ali Latifi,20 February 1976 (aged 22),0,Bahman,Iran
14,DF,Nader Mohammadkhani,23 August 1963 (aged 34),52,Polyacryl,Iran
15,DF,Ali Akbar Ostad-Asadi,17 September 1965 (aged 32),29,Zob Ahan,Iran
16,DF,Reza Shahroudi,21 February 1972 (aged 26),34,Persepolis,Iran
17,DF,Javad Zarincheh,23 July 1966 (aged 31),61,Esteghlal,Iran
18,MF,Sattar Hamedani,6 June 1974 (aged 24),3,Bahman,Iran
19,FW,Behnam Seraj,19 June 1971 (aged 26),0,Sanat Naft,Iran
20,DF,Mehdi Pashazadeh,27 December 1973 (aged 24),4,Esteghlal,Iran
21,MF,Mehrdad Minavand,30 November 1975 (aged 22),27,Persepolis,Iran
22,GK,Parviz Boroumand,11 September 1972 (aged 25),0,Esteghlal,Iran
1,GK,Brad Friedel,18 May 1971 (aged 27),56,Liverpool,United States
2,DF,Frankie Hejduk,5 August 1974 (aged 23),11,Tampa Bay Mutiny,United States
3,DF,Eddie Pope,24 December 1973 (aged 24),23,D.C. United,United States
4,DF,Mike Burns,14 September 1970 (aged 27),73,New England Revolution,United States
5,MF,Thomas Dooley (captain),5 December 1961 (aged 36),77,Columbus Crew,United States
6,DF,David Regis,2 December 1968 (aged 29),2,Karlsruher SC,United States
7,FW,Roy Wegerle,19 March 1964 (aged 34),39,Tampa Bay Mutiny,United States
8,MF,Earnie Stewart,28 March 1969 (aged 29),47,NAC Breda,United States
9,FW,Joe-Max Moore,23 February 1971 (aged 27),68,New England Revolution,United States
10,MF,Tab Ramos,21 September 1966 (aged 31),80,MetroStars,United States
11,FW,Eric Wynalda,9 June 1969 (aged 29),100,San Jose Clash,United States
12,DF,Jeff Agoos,2 May 1968 (aged 30),87,D.C. United,United States
13,MF,Cobi Jones,16 June 1970 (aged 27),107,LA Galaxy,United States
14,MF,Predrag Radosavljević,24 June 1963 (aged 34),24,Kansas City Wizards,United States
15,MF,Chad Deering,2 September 1970 (aged 27),10,VfL Wolfsburg,United States
16,GK,Juergen Sommer,27 February 1969 (aged 29),8,Columbus Crew,United States
17,DF,Marcelo Balboa,8 August 1967 (aged 30),126,Colorado Rapids,United States
18,GK,Kasey Keller,29 November 1969 (aged 28),33,Leicester City,United States
19,MF,Brian Maisonneuve,28 June 1973 (aged 24),7,Columbus Crew,United States
20,FW,Brian McBride,19 June 1972 (aged 25),21,Columbus Crew,United States
21,MF,Claudio Reyna,20 July 1973 (aged 24),59,VfL Wolfsburg,United States
22,DF,Alexi Lalas,1 June 1970 (aged 28),98,MetroStars,United States
1,GK,Ivica Kralj,26 March 1973 (aged 25),15,Partizan,FR Yugoslavia
2,DF,Zoran Mirković,21 September 1971 (aged 26),28,Atalanta,FR Yugoslavia
3,DF,Goran Đorović,11 November 1971 (aged 26),26,Celta Vigo,FR Yugoslavia
4,MF,Slaviša Jokanović,16 August 1968 (aged 29),33,Tenerife,FR Yugoslavia
5,DF,Miroslav Đukić,19 February 1966 (aged 32),23,Valencia,FR Yugoslavia
6,MF,Branko Brnović,8 August 1967 (aged 30),22,Espanyol,FR Yugoslavia
7,MF,Vladimir Jugović,30 August 1969 (aged 28),24,Lazio,FR Yugoslavia
8,MF,Dejan Savićević,15 September 1966 (aged 31),49,Milan,FR Yugoslavia
9,FW,Predrag Mijatović,19 January 1969 (aged 29),28,Real Madrid,FR Yugoslavia
10,MF,Dragan Stojković (captain),3 March 1965 (aged 33),64,Nagoya Grampus Eight,FR Yugoslavia
11,DF,Siniša Mihajlović,20 February 1969 (aged 29),30,Sampdoria,FR Yugoslavia
12,GK,Dragoje Leković,21 November 1967 (aged 30),14,Sporting Gijón,FR Yugoslavia
13,DF,Slobodan Komljenović,2 January 1971 (aged 27),8,MSV Duisburg,FR Yugoslavia
14,DF,Niša Saveljić,23 February 1970 (aged 28),20,Bordeaux,FR Yugoslavia
15,MF,Ljubinko Drulović,11 September 1968 (aged 29),16,Porto,FR Yugoslavia
16,DF,Željko Petrović,13 November 1965 (aged 32),12,Urawa Red Diamonds,FR Yugoslavia
17,FW,Savo Milošević,2 September 1973 (aged 24),28,Aston Villa,FR Yugoslavia
18,MF,Dejan Govedarica,2 October 1969 (aged 28),20,Lecce,FR Yugoslavia
19,MF,Miroslav Stević,7 January 1970 (aged 28),5,1860 Munich,FR Yugoslavia
20,MF,Dejan Stanković,11 September 1978 (aged 19),3,Red Star Belgrade,FR Yugoslavia
21,FW,Perica Ognjenović,24 February 1977 (aged 21),5,Red Star Belgrade,FR Yugoslavia
22,FW,Darko Kovačević,18 November 1973 (aged 24),19,Real Sociedad,FR Yugoslavia
1,GK,Óscar Córdoba,3 February 1970 (aged 28),38,Boca Juniors,Colombia
2,DF,Iván Córdoba,11 August 1976 (aged 21),14,San Lorenzo,Colombia
3,DF,Ever Palacios,18 January 1969 (aged 29),1,Deportivo Cali,Colombia
4,DF,José Santa,12 November 1970 (aged 27),26,Atlético Nacional,Colombia
5,DF,Jorge Bermúdez,18 June 1971 (aged 26),15,Boca Juniors,Colombia
6,MF,Mauricio Serna,22 January 1968 (aged 30),2,Boca Juniors,Colombia
7,FW,Antony de Ávila,21 December 1962 (aged 35),52,Barcelona,Colombia
8,MF,John Harold Lozano,30 March 1972 (aged 26),13,Valladolid,Colombia
9,FW,Adolfo Valencia,6 February 1968 (aged 30),34,Independiente Medellín,Colombia
10,MF,Carlos Valderrama (captain),2 September 1961 (aged 36),108,Miami Fusion,Colombia
11,FW,Faustino Asprilla,10 November 1969 (aged 28),44,Parma,Colombia
12,GK,Miguel Calero,14 April 1971 (aged 27),5,Atlético Nacional,Colombia
13,DF,Wílmer Cabrera,15 September 1967 (aged 30),45,Millonarios,Colombia
14,MF,Jorge Bolaño,28 April 1977 (aged 21),0,Atlético Junior,Colombia
15,FW,Víctor Aristizábal,9 December 1971 (aged 26),18,São Paulo,Colombia
16,DF,Luis Antonio Moreno,25 December 1970 (aged 27),19,Deportes Tolima,Colombia
17,MF,Andrés Estrada,12 November 1967 (aged 30),2,Deportivo Cali,Colombia
18,MF,John Wilmar Pérez,2 February 1970 (aged 28),5,Deportivo Cali,Colombia
19,MF,Freddy Rincón,14 August 1966 (aged 31),75,Corinthians,Colombia
20,FW,Hámilton Ricard,12 January 1974 (aged 24),5,Middlesbrough,Colombia
21,FW,Léider Preciado,26 February 1977 (aged 21),0,Santa Fe,Colombia
22,GK,Faryd Mondragón,21 June 1971 (aged 26),5,Independiente,Colombia
1,GK,David Seaman,19 September 1963 (aged 34),40,Arsenal,England
2,DF,Sol Campbell,18 September 1974 (aged 23),16,Tottenham Hotspur,England
3,DF,Graeme Le Saux,17 October 1968 (aged 29),25,Chelsea,England
4,MF,Paul Ince,21 October 1967 (aged 30),39,Liverpool,England
5,DF,Tony Adams,10 October 1966 (aged 31),51,Arsenal,England
6,DF,Gareth Southgate,3 September 1970 (aged 27),25,Aston Villa,England
7,MF,David Beckham,2 May 1975 (aged 23),15,Manchester United,England
8,MF,David Batty,2 December 1968 (aged 29),31,Newcastle United,England
9,FW,Alan Shearer (captain),13 August 1970 (aged 27),39,Newcastle United,England
10,FW,Teddy Sheringham,2 April 1966 (aged 32),33,Manchester United,England
11,MF,Steve McManaman,11 February 1972 (aged 26),21,Liverpool,England
12,DF,Gary Neville,18 February 1975 (aged 23),27,Manchester United,England
13,GK,Nigel Martyn,11 August 1966 (aged 31),7,Leeds United,England
14,MF,Darren Anderton,3 March 1972 (aged 26),18,Tottenham Hotspur,England
15,MF,Paul Merson,20 March 1968 (aged 30),18,Middlesbrough,England
16,MF,Paul Scholes,16 November 1974 (aged 23),7,Manchester United,England
17,MF,Rob Lee,1 February 1966 (aged 32),17,Newcastle United,England
18,DF,Martin Keown,24 July 1966 (aged 31),18,Arsenal,England
19,FW,Les Ferdinand,8 December 1966 (aged 31),17,Tottenham Hotspur,England
20,FW,Michael Owen,14 December 1979 (aged 18),5,Liverpool,England
21,DF,Rio Ferdinand,7 November 1978 (aged 19),3,West Ham United,England
22,GK,Tim Flowers,3 February 1967 (aged 31),11,Blackburn Rovers,England
1,GK,Dumitru Stângaciu,9 August 1964 (aged 33),5,Kocaelispor,Romania
2,DF,Dan Petrescu,22 December 1967 (aged 30),68,Chelsea,Romania
3,DF,Cristian Dulca,25 September 1972 (aged 25),5,Rapid București,Romania
4,DF,Anton Doboș,13 October 1965 (aged 32),21,AEK Athens,Romania
5,MF,Constantin Gâlcă,8 March 1972 (aged 26),32,Espanyol,Romania
6,DF,Gheorghe Popescu,9 October 1967 (aged 30),78,Galatasaray,Romania
7,FW,Marius Lăcătuș,5 April 1964 (aged 34),81,Steaua București,Romania
8,MF,Dorinel Munteanu,25 June 1968 (aged 29),63,1. FC Köln,Romania
9,FW,Viorel Moldovan,8 July 1972 (aged 25),24,Coventry City,Romania
10,MF,Gheorghe Hagi (captain),5 February 1965 (aged 33),111,Galatasaray,Romania
11,FW,Adrian Ilie,20 April 1974 (aged 24),20,Valencia,Romania
12,GK,Bogdan Stelea,5 December 1967 (aged 30),46,Salamanca,Romania
13,DF,Liviu Ciobotariu,26 March 1971 (aged 27),4,Național București,Romania
14,MF,Radu Niculescu,2 March 1975 (aged 23),11,Național București,Romania
15,MF,Lucian Marinescu,24 June 1972 (aged 25),4,Rapid București,Romania
16,MF,Gabriel Popescu,23 December 1973 (aged 24),12,Salamanca,Romania
17,FW,Ilie Dumitrescu,6 January 1969 (aged 29),62,Atlante,Romania
18,MF,Iulian Filipescu,29 March 1974 (aged 24),15,Galatasaray,Romania
19,MF,Ovidiu Stîngă,5 December 1972 (aged 25),19,PSV Eindhoven,Romania
20,DF,Tibor Selymes,14 May 1970 (aged 28),44,Anderlecht,Romania
21,FW,Gheorghe Craioveanu,14 February 1968 (aged 30),18,Real Sociedad,Romania
22,GK,Florin Prunea,8 August 1968 (aged 29),35,Universitatea Cluj,Romania
1,GK,Chokri El Ouaer,15 August 1966 (aged 31),51,Espérance de Tunis,Tunisia
2,FW,Imed Ben Younes,16 June 1974 (aged 23),7,Étoile du Sahel,Tunisia
3,DF,Sami Trabelsi (captain),4 February 1968 (aged 30),45,CS Sfaxien,Tunisia
4,DF,Mounir Boukadida,24 October 1967 (aged 30),30,Étoile du Sahel,Tunisia
5,DF,Hatem Trabelsi,25 January 1977 (aged 21),2,CS Sfaxien,Tunisia
6,DF,Ferid Chouchane,19 April 1973 (aged 25),26,Étoile du Sahel,Tunisia
7,DF,Tarek Thabet,16 August 1971 (aged 26),43,Espérance de Tunis,Tunisia
8,MF,Zoubeir Baya,15 May 1971 (aged 27),44,SC Freiburg,Tunisia
9,FW,Riadh Jelassi,7 July 1971 (aged 26),13,Étoile du Sahel,Tunisia
10,MF,Kaies Ghodhbane,7 January 1976 (aged 22),46,Étoile du Sahel,Tunisia
11,FW,Adel Sellimi,16 November 1972 (aged 25),57,Real Jaén,Tunisia
12,FW,Mourad Melki,9 May 1975 (aged 23),2,Olympique Béja,Tunisia
13,MF,Riadh Bouazizi,8 April 1973 (aged 25),24,Étoile du Sahel,Tunisia
14,MF,Sirajeddine Chihi,16 April 1970 (aged 28),47,Espérance de Tunis,Tunisia
15,MF,Skander Souayah,20 November 1972 (aged 25),31,CS Sfaxien,Tunisia
16,GK,Radhouane Salhi,18 December 1967 (aged 30),5,Étoile du Sahel,Tunisia
17,MF,José Clayton,21 March 1974 (aged 24),4,Étoile du Sahel,Tunisia
18,FW,Mehdi Ben Slimane,1 January 1974 (aged 24),32,SC Freiburg,Tunisia
19,MF,Faysal Ben Ahmed,7 March 1973 (aged 25),2,Espérance de Tunis,Tunisia
20,DF,Sabri Jaballah,28 June 1973 (aged 24),20,Club Africain,Tunisia
21,DF,Khaled Badra,8 April 1973 (aged 25),26,Espérance de Tunis,Tunisia
22,GK,Ali Boumnijel,13 April 1966 (aged 32),12,Bastia,Tunisia
1,GK,Carlos Roa,15 August 1969 (aged 28),10,Mallorca,Argentina
2,DF,Roberto Ayala,14 April 1973 (aged 25),37,Napoli,Argentina
3,DF,José Chamot,17 May 1969 (aged 29),31,Lazio,Argentina
4,DF,Mauricio Pineda,13 July 1975 (aged 22),7,Udinese,Argentina
5,MF,Matías Almeyda,21 December 1973 (aged 24),24,Lazio,Argentina
6,DF,Roberto Sensini,12 October 1966 (aged 31),44,Parma,Argentina
7,FW,Claudio López,17 July 1974 (aged 23),25,Valencia,Argentina
8,MF,Diego Simeone (captain),28 April 1970 (aged 28),69,Inter Milan,Argentina
9,FW,Gabriel Batistuta,1 February 1969 (aged 29),61,Fiorentina,Argentina
10,MF,Ariel Ortega,4 March 1974 (aged 24),50,Valencia,Argentina
11,MF,Juan Sebastián Verón,9 March 1975 (aged 23),17,Sampdoria,Argentina
12,GK,Germán Burgos,16 April 1969 (aged 29),9,River Plate,Argentina
13,DF,Pablo Paz,27 January 1973 (aged 25),15,Tenerife,Argentina
14,DF,Nelson Vivas,18 October 1969 (aged 28),11,Lugano,Argentina
15,MF,Leonardo Astrada,6 January 1970 (aged 28),20,River Plate,Argentina
16,MF,Sergio Berti,17 September 1969 (aged 28),15,River Plate,Argentina
17,GK,Pablo Cavallero,13 April 1974 (aged 24),8,Vélez Sársfield,Argentina
18,FW,Abel Balbo,1 June 1966 (aged 32),34,Roma,Argentina
19,FW,Hernán Crespo,5 July 1975 (aged 22),18,Parma,Argentina
20,MF,Marcelo Gallardo,18 January 1976 (aged 22),23,River Plate,Argentina
21,FW,Marcelo Delgado,24 March 1973 (aged 25),14,Racing,Argentina
22,DF,Javier Zanetti,10 August 1973 (aged 24),30,Inter Milan,Argentina
1,GK,Dražen Ladić,1 January 1963 (aged 35),41,Croatia Zagreb,Croatia
2,FW,Petar Krpan,1 July 1974 (aged 23),1,Osijek,Croatia
3,DF,Anthony Šerić,15 January 1979 (aged 19),3,Hajduk Split,Croatia
4,DF,Igor Štimac,6 September 1967 (aged 30),29,Derby County,Croatia
5,DF,Goran Jurić,5 February 1963 (aged 35),11,Croatia Zagreb,Croatia
6,DF,Slaven Bilić,11 September 1968 (aged 29),36,Everton,Croatia
7,MF,Aljoša Asanović,14 December 1965 (aged 32),39,Napoli,Croatia
8,MF,Robert Prosinečki,12 January 1969 (aged 29),29,Croatia Zagreb,Croatia
9,FW,Davor Šuker,1 January 1968 (aged 30),36,Real Madrid,Croatia
10,MF,Zvonimir Boban (captain),8 October 1968 (aged 29),35,Milan,Croatia
11,MF,Silvio Marić,20 March 1975 (aged 23),7,Croatia Zagreb,Croatia
12,GK,Marjan Mrmić,6 May 1965 (aged 33),12,Beşiktaş,Croatia
13,MF,Mario Stanić,10 April 1972 (aged 26),16,Parma,Croatia
14,MF,Zvonimir Soldo,2 November 1967 (aged 30),26,VfB Stuttgart,Croatia
15,DF,Igor Tudor,16 April 1978 (aged 20),5,Hajduk Split,Croatia
16,FW,Ardian Kozniku,27 October 1967 (aged 30),7,Bastia,Croatia
17,DF,Robert Jarni,26 October 1968 (aged 29),38,Real Betis,Croatia
18,MF,Zoran Mamić,30 September 1971 (aged 26),6,VfL Bochum,Croatia
19,FW,Goran Vlaović,7 August 1972 (aged 25),28,Valencia,Croatia
20,DF,Dario Šimić,12 November 1975 (aged 22),17,Croatia Zagreb,Croatia
21,MF,Krunoslav Jurčić,26 November 1969 (aged 28),9,Croatia Zagreb,Croatia
22,GK,Vladimir Vasilj,6 July 1975 (aged 22),1,Hrvatski Dragovoljac,Croatia
1,GK,Warren Barrett (captain),9 July 1970 (aged 27),128,Violet Kickers,Jamaica
2,DF,Stephen Malcolm,2 May 1970 (aged 28),62,Seba United,Jamaica
3,MF,Chris Dawes,31 May 1974 (aged 24),20,Galaxy,Jamaica
4,DF,Linval Dixon,14 September 1971 (aged 26),104,Hazard United,Jamaica
5,DF,Ian Goodison,21 November 1972 (aged 25),55,Olympic Gardens,Jamaica
6,MF,Fitzroy Simpson,26 February 1970 (aged 28),23,Portsmouth,Jamaica
